n,	e
0,	-1.000000
1,	0.000000
2,	1.000000
3,	1.666667
4,	2.333333
5,	2.800000
6,	3.266667
7,	3.669841
8,	4.017460
9,	4.340388
10,	4.641093
11,	4.916614
12,	5.170053
13,	5.406534
14,	5.629374
15,	5.839988
16,	6.039095
17,	6.227526
18,	6.406361
19,	6.576710
20,	6.739523
21,	6.895530
22,	7.045281
23,	7.189217
24,	7.327726
25,	7.461173
26,	7.589914
27,	7.714283
28,	7.834591
29,	7.951118
30,	8.064110
31,	8.173784
32,	8.280330
33,	8.383920
34,	8.484710
35,	8.582844
36,	8.678458
37,	8.771676
38,	8.862619
39,	8.951398
40,	9.038118
41,	9.122874
42,	9.205758
43,	9.286853
44,	9.366237
45,	9.443981
46,	9.520153
47,	9.594815
48,	9.668026
49,	9.739842
50,	9.810314
51,	9.879493
52,	9.947426
53,	10.014156
54,	10.079727
55,	10.144179
56,	10.207550
57,	10.269876
58,	10.331193
59,	10.391533
60,	10.450928
61,	10.509406
62,	10.566998
63,	10.623729
64,	10.679624
65,	10.734710
66,	10.789009
67,	10.842543
68,	10.895334
69,	10.947402
70,	10.998767
71,	11.049448
72,	11.099464
73,	11.148831
74,	11.197566
75,	11.245686
76,	11.293206
77,	11.340141
78,	11.386505
79,	11.432314
80,	11.477579
81,	11.522313
82,	11.566530
83,	11.610242
84,	11.653459
85,	11.696194
86,	11.738456
87,	11.780257
88,	11.821606
89,	11.862514
90,	11.902990
91,	11.943042
92,	11.982680
93,	12.021912
94,	12.060747
95,	12.099193
96,	12.137257
97,	12.174947
98,	12.212271
99,	12.249235
100,	12.285846
101,	12.322112
102,	12.358039
103,	12.393632
104,	12.428899
105,	12.463846
106,	12.498477
107,	12.532799
108,	12.566818
109,	12.600538
110,	12.633966
111,	12.667106
112,	12.699963
113,	12.732541
114,	12.764847
115,	12.796884
116,	12.828656
117,	12.860169
118,	12.891426
119,	12.922432
120,	12.953191
121,	12.983706
122,	13.013982
123,	13.044022
124,	13.073830
125,	13.103409
126,	13.132763
127,	13.161896
128,	13.190811
129,	13.219511
130,	13.248000
131,	13.276279
132,	13.304353
133,	13.332225
134,	13.359897
135,	13.387373
136,	13.414654
137,	13.441745
138,	13.468647
139,	13.495363
140,	13.521896
141,	13.548248
142,	13.574422
143,	13.600420
144,	13.626245
145,	13.651899
146,	13.677383
147,	13.702701
148,	13.727855
149,	13.752846
150,	13.777677
151,	13.802350
152,	13.826867
153,	13.851230
154,	13.875441
155,	13.899501
156,	13.923413
157,	13.947179
158,	13.970800
159,	13.994277
160,	14.017614
161,	14.040811
162,	14.063870
163,	14.086793
164,	14.109582
165,	14.132237
166,	14.154761
167,	14.177155
168,	14.199421
169,	14.221560
170,	14.243573
171,	14.265462
172,	14.287229
173,	14.308875
174,	14.330400
175,	14.351807
176,	14.373097
177,	14.394270
178,	14.415330
179,	14.436275
180,	14.457109
181,	14.477831
182,	14.498444
183,	14.518947
184,	14.539344
185,	14.559634
186,	14.579819
187,	14.599899
188,	14.619877
189,	14.639752
190,	14.659527
191,	14.679202
192,	14.698777
193,	14.718255
194,	14.737636
195,	14.756921
196,	14.776111
197,	14.795207
198,	14.814209
199,	14.833120
200,	14.851939
201,	14.870667
202,	14.889306
203,	14.907857
204,	14.926319
205,	14.944695
206,	14.962984
207,	14.981188
208,	14.999307
209,	15.017343
210,	15.035295
211,	15.053166
212,	15.070954
213,	15.088662
214,	15.106290
215,	15.123839
216,	15.141309
217,	15.158702
218,	15.176017
219,	15.193255
220,	15.210418
221,	15.227506
222,	15.244519
223,	15.261459
224,	15.278325
225,	15.295119
226,	15.311841
227,	15.328491
228,	15.345071
229,	15.361581
230,	15.378022
231,	15.394393
232,	15.410696
233,	15.426932
234,	15.443100
235,	15.459202
236,	15.475238
237,	15.491208
238,	15.507113
239,	15.522954
240,	15.538730
241,	15.554444
242,	15.570094
243,	15.585682
244,	15.601209
245,	15.616674
246,	15.632078
247,	15.647421
248,	15.662705
249,	15.677929
250,	15.693094
251,	15.708200
252,	15.723249
253,	15.738240
254,	15.753173
255,	15.768050
256,	15.782871
257,	15.797635
258,	15.812345
259,	15.826999
260,	15.841598
261,	15.856143
262,	15.870635
263,	15.885073
264,	15.899458
265,	15.913790
266,	15.928070
267,	15.942298
268,	15.956475
269,	15.970601
270,	15.984676
271,	15.998700
272,	16.012674
273,	16.026599
274,	16.040475
275,	16.054301
276,	16.068079
277,	16.081809
278,	16.095491
279,	16.109125
280,	16.122712
281,	16.136252
282,	16.149745
283,	16.163192
284,	16.176594
285,	16.189949
286,	16.203259
287,	16.216525
288,	16.229745
289,	16.242921
290,	16.256053
291,	16.269141
292,	16.282186
293,	16.295187
294,	16.308146
295,	16.321062
296,	16.333935
297,	16.346767
298,	16.359556
299,	16.372304
300,	16.385011
301,	16.397677
302,	16.410302
303,	16.422886
304,	16.435431
305,	16.447935
306,	16.460400
307,	16.472825
308,	16.485211
309,	16.497558
310,	16.509867
311,	16.522137
312,	16.534369
313,	16.546562
314,	16.558718
