n, e
0, -1.00000000
1, 0.00000000
2, 1.00000000
3, 1.66666667
4, 2.33333333
5, 2.80000000
6, 3.26666667
7, 3.66984127
8, 4.01746032
9, 4.34038801
10, 4.64109347
11, 4.91661376
12, 5.17005291
13, 5.40653371
14, 5.62937380
15, 5.83998769
16, 6.03909518
17, 6.22752621
18, 6.40636064
19, 6.57670999
20, 6.73952289
21, 6.89552958
22, 7.04528080
23, 7.18921689
24, 7.32772553
25, 7.46117321
26, 7.58991360
27, 7.71428285
28, 7.83459141
29, 7.95111841
30, 8.06411035
31, 8.17378376
32, 8.28032989
33, 8.38392004
34, 8.48471017
35, 8.58284448
36, 8.67845768
37, 8.77167632
38, 8.86261934
39, 8.95139831
40, 9.03811751
41, 9.12287404
42, 9.20575804
43, 9.28685310
44, 9.36623672
45, 9.44398090
46, 9.52015270
47, 9.59481481
48, 9.66802603
49, 9.73984177
50, 9.81031434
51, 9.87949330
52, 9.94742566
53, 10.01415607
54, 10.07972698
55, 10.14417873
56, 10.20754967
57, 10.26987626
58, 10.33119312
59, 10.39153317
60, 10.45092771
61, 10.50940647
62, 10.56699776
63, 10.62372852
64, 10.67962444
65, 10.73471001
66, 10.78900862
67, 10.84254266
68, 10.89533354
69, 10.94740178
70, 10.99876708
71, 11.04944832
72, 11.09946369
73, 11.14883063
74, 11.19756595
75, 11.24568582
76, 11.29320579
77, 11.34014087
78, 11.38650549
79, 11.43231358
80, 11.47757855
81, 11.52231334
82, 11.56653042
83, 11.61024182
84, 11.65345916
85, 11.69619365
86, 11.73845610
87, 11.78025698
88, 11.82160639
89, 11.86251409
90, 11.90298953
91, 11.94304185
92, 11.98267991
93, 12.02191228
94, 12.06074726
95, 12.09919291
96, 12.13725703
97, 12.17494719
98, 12.21227076
99, 12.24923487
100, 12.28584644
101, 12.32211223
102, 12.35803876
103, 12.39363240
104, 12.42889935
105, 12.46384561
106, 12.49847703
107, 12.53279932
108, 12.56681800
109, 12.60053848
110, 12.63396601
111, 12.66710569
112, 12.69996251
113, 12.73254131
114, 12.76484683
115, 12.79688367
116, 12.82865631
117, 12.86016914
118, 12.89142642
119, 12.92243230
120, 12.95319086
121, 12.98370604
122, 13.01398172
123, 13.04402166
124, 13.07382956
125, 13.10340899
126, 13.13276349
127, 13.16189647
128, 13.19081130
129, 13.21951125
130, 13.24799951
131, 13.27627923
132, 13.30435347
133, 13.33222521
134, 13.35989739
135, 13.38737288
136, 13.41465449
137, 13.44174494
138, 13.46864695
139, 13.49536313
140, 13.52189606
141, 13.54824828
142, 13.57442223
143, 13.60042036
144, 13.62624504
145, 13.65189857
146, 13.67738326
147, 13.70270132
148, 13.72785495
149, 13.75284630
150, 13.77767746
151, 13.80235050
152, 13.82686744
153, 13.85123028
154, 13.87544095
155, 13.89950137
156, 13.92341341
157, 13.94717891
158, 13.97079967
159, 13.99427747
160, 14.01761404
161, 14.04081110
162, 14.06387031
163, 14.08679333
164, 14.10958177
165, 14.13223721
166, 14.15476122
167, 14.17715534
168, 14.19942105
169, 14.22155985
170, 14.24357318
171, 14.26546248
172, 14.28722915
173, 14.30887456
174, 14.33040008
175, 14.35180704
176, 14.37309675
177, 14.39427050
178, 14.41532955
179, 14.43627516
180, 14.45710856
181, 14.47783095
182, 14.49844351
183, 14.51894743
184, 14.53934384
185, 14.55963389
186, 14.57981868
187, 14.59989931
188, 14.61987687
189, 14.63975241
190, 14.65952699
191, 14.67920163
192, 14.69877734
193, 14.71825514
194, 14.73763599
195, 14.75692088
196, 14.77611075
197, 14.79520655
198, 14.81420921
199, 14.83311963
200, 14.85193873
